ticker,conditional_result,earnings_count,hits,avg_loss_threshold_not_met,min_spike,avg_spike,median_spike
HWKN,-5.37,16,10,-5.89,0.0,7.92,8.19
HXL,-10.9,16,9,-5.41,0.09,4.34,4.17
IBKR,12.93,16,11,-4.01,0.26,4.5,3.78
IBM,-0.95,16,11,-6.79,0.63,5.73,4.86
IMO,18.63,16,10,-1.9,0.08,3.51,3.2
INDB,21.55,16,11,-2.29,0.34,3.74,3.86
ING,-11.81,16,5,-2.44,0.07,2.61,1.13
INTC,-48.23,16,9,-10.75,0.4,5.58,4.37
IP,-30.25,16,6,-4.83,0.02,3.34,2.1
ISRG,-1.79,16,10,-5.3,0.15,7.04,5.53
IVZ,1.58,16,10,-4.74,0.46,4.1,3.59
JHG,15.72,16,11,-3.46,0.33,5.77,4.44
JNJ,11.78,16,8,-1.53,0.14,3.22,2.98
KEX,-1.14,16,12,-9.28,0.15,6.07,5.31
KEY,-12.42,16,5,-2.49,0.48,2.57,2.23
KLAC,15.01,16,10,-2.5,0.96,4.13,4.25
KMB,-5.47,16,7,-2.94,0.09,2.97,1.93
KMI,2.18,16,4,-0.82,0.5,2.04,1.9
KNX,2.98,16,7,-2.0,0.14,5.42,2.65
LAZ,36.87,16,13,-0.71,0.41,5.1,5.28
LBRT,35.61,16,14,-3.19,0.95,8.99,7.6
LC,-77.37,16,9,-14.91,0.0,11.93,8.88
LEVI,-14.3,16,11,-9.46,0.88,7.51,5.59
LFUS,12.44,16,11,-4.11,0.05,5.93,5.62
LHX,10.69,16,10,-3.22,0.16,3.64,3.45
LII,-13.61,16,9,-5.8,0.16,4.78,4.75
LKFN,-4.03,16,4,-1.34,0.16,2.64,1.82
LMT,-17.28,15,6,-3.92,0.0,2.97,2.4
LOB,-27.05,16,9,-7.72,0.2,4.81,4.03
LOGI,30.63,16,14,-5.68,1.02,6.56,5.38
LPLA,10.63,16,10,-3.23,0.52,5.29,3.84
LRCX,28.2,16,13,-3.6,0.48,5.93,6.16
LRN,-39.89,16,14,-40.95,0.84,16.4,14.32
LSTR,-9.43,16,5,-2.22,0.05,2.19,1.6
LUV,-22.76,16,8,-5.85,0.52,3.63,3.26
LVS,17.73,16,12,-4.57,1.4,6.09,6.34
LYB,7.22,16,7,-1.53,0.25,3.08,2.95
MA,11.49,16,6,-0.65,0.38,2.9,2.74
MAN,-22.09,16,7,-4.79,0.0,3.76,2.64
MANH,-37.99,16,8,-7.75,0.28,8.42,5.26
MBIN,-32.29,16,9,-8.47,0.08,4.53,4.35
META,-2.19,14,10,-8.05,0.81,9.91,10.16
MHO,12.37,16,11,-4.13,0.08,3.69,3.68
MKC,4.93,16,9,-3.15,0.48,4.77,4.37
MMM,14.24,15,11,-4.69,0.02,6.29,5.85
MMYT,17.74,16,12,-4.56,0.22,6.23,4.6
MO,-4.69,16,5,-1.79,0.26,2.38,1.57
MRTN,-8.67,16,8,-4.08,0.69,4.86,2.7
MSCI,-17.22,16,8,-5.15,0.41,4.84,3.47
MSFT,-0.55,16,9,-3.94,0.16,4.9,4.9
MTH,5.77,16,9,-3.03,0.0,4.37,3.75
MTX,-17.82,16,6,-3.58,0.07,3.73,2.49
MUR,15.07,16,9,-1.7,0.61,3.88,3.99
MXL,-80.81,16,10,-18.47,0.04,9.49,3.74
NAVI,-36.97,16,6,-5.5,0.03,2.78,1.53
NBHC,1.27,16,9,-3.68,0.0,3.13,3.24
NBTB,-5.27,16,5,-1.84,0.02,2.96,1.86
NDAQ,10.55,16,8,-1.68,0.0,3.65,3.35
NEE,5.57,15,9,-3.57,0.69,3.67,4.06
NFG,0.04,16,7,-2.33,0.06,2.78,1.96
NFLX,1.43,16,13,-12.52,0.15,7.71,5.43
NIC,0.92,14,5,-1.56,0.58,3.38,1.75
NLY,11.67,16,7,-1.04,0.49,2.7,2.1
NOC,-21.42,16,3,-2.34,0.0,2.26,1.59
NOW,19.88,16,13,-6.37,0.44,7.85,7.74
NRIX,33.09,16,14,-4.45,0.6,14.82,8.17
NSC,-1.38,16,6,-1.94,0.12,3.05,2.17
NTCT,19.29,16,10,-1.79,0.52,8.0,5.44
NTRS,-27.51,16,7,-5.39,0.1,3.44,1.32
NUE,19.94,16,12,-4.02,0.07,5.41,5.48
NWBI,21.17,16,7,0.02,0.26,3.14,2.84
NXT,20.73,11,10,-9.27,0.28,17.27,17.35
OBK,-10.93,10,4,-3.82,0.0,2.63,0.85
OCFC,-7.76,16,5,-2.07,0.06,2.72,1.64
OFG,4.92,16,8,-2.38,0.19,3.26,2.92
OLN,1.47,16,12,-8.63,0.22,5.43,5.12
ONB,16.83,16,8,-0.9,0.0,3.27,2.85
ORI,1.62,16,5,-1.22,0.24,2.43,2.03
OSBC,4.51,16,8,-2.44,0.13,2.92,3.25
OSIS,26.03,16,12,-2.49,0.42,7.45,7.19
OSK,-6.23,16,7,-3.03,0.0,4.04,2.65
OTIS,-18.24,16,6,-3.62,0.0,2.19,1.07
OZK,-0.81,16,8,-3.1,0.0,4.0,3.25
PB,16.06,16,7,-0.55,0.05,2.9,2.8
PCAR,-1.21,16,9,-4.03,0.16,3.32,3.18
PCH,5.58,16,5,-0.86,0.02,2.07,1.89
PEBO,7.17,16,5,-0.71,0.0,2.63,2.68
PFBC,7.15,16,8,-2.11,0.19,3.55,3.16
PFS,4.5,16,4,-0.62,0.89,2.87,2.45
PFSI,-15.52,16,7,-4.06,0.02,4.4,1.53
PG,10.08,16,9,-2.42,0.13,2.71,3.26
PGR,-5.53,16,8,-3.69,0.1,2.98,3.09
PH,28.95,16,11,-0.81,0.22,5.15,4.69
PHM,28.66,16,12,-1.83,0.23,5.45,4.95
PII,-6.14,15,8,-4.31,0.11,4.78,3.38
PKG,2.38,16,9,-3.52,0.08,4.11,3.22
PLD,7.3,16,9,-2.81,0.57,3.68,3.56
PLXS,-28.02,16,7,-5.45,0.07,3.78,1.76
PMT,-12.45,16,6,-3.04,0.21,3.97,1.87
PNFP,2.66,16,8,-2.67,0.39,3.0,2.7
PPG,-17.53,16,6,-3.55,0.06,2.62,1.29
PRGS,-24.01,16,7,-5.0,0.09,5.03,2.83
PRK,13.0,16,7,-0.89,0.49,3.49,2.45
QCRH,9.51,16,8,-1.81,0.0,3.7,2.97
QRVO,-38.75,16,10,-11.46,0.42,6.23,4.51
RBC,11.7,16,6,-0.63,0.18,3.46,1.86
RCI,21.83,16,9,-0.74,1.46,4.13,3.12
RCL,11.24,16,12,-6.19,0.26,6.37,5.95
RDY,-81.02,15,5,-9.6,0.09,2.1,1.33
REGN,-3.86,16,8,-3.48,0.0,4.21,3.26
RHI,-46.06,16,5,-5.55,0.11,2.31,1.15
RJF,15.51,16,9,-1.64,0.32,3.69,3.47
RLI,10.95,16,10,-3.18,0.04,3.94,4.54
RMD,-22.49,16,8,-5.81,0.07,4.83,3.04
RNST,7.8,16,8,-2.02,0.0,3.5,3.01
ROP,-3.4,16,7,-2.71,0.0,2.95,2.23
RTX,-10.59,15,6,-3.18,0.07,4.75,2.3
SANM,7.3,16,11,-5.14,0.3,9.62,7.04
