ticker,conditional_result,earnings_count,hits,avg_loss_threshold_not_met,min_spike,avg_spike,median_spike
LLY,-16.94,16,9,-6.28,0.25,5.55,5.29
LPG,-1.69,16,10,-5.28,0.19,4.3,3.64
LSCC,-32.15,16,8,-7.02,0.08,5.91,4.15
LTM,13.33,6,5,-1.67,0.14,4.09,4.63
LYFT,-15.49,16,14,-28.75,0.28,14.33,8.65
MAA,13.12,16,6,-0.49,0.0,2.22,1.95
MAC,-0.8,16,8,-3.1,0.0,4.02,3.21
MAR,-3.31,16,6,-2.13,0.3,2.56,1.91
MAS,14.5,16,10,-2.58,0.09,4.79,4.5
MAT,-2.01,16,11,-7.0,0.3,5.82,5.55
MBC,-23.9,12,7,-8.98,0.72,7.91,8.58
MC,-33.61,16,5,-4.42,0.0,2.25,1.04
MCHP,-15.68,16,7,-4.08,0.05,4.27,2.88
MCK,-6.09,16,8,-3.76,0.03,3.98,3.05
MDLZ,10.13,16,8,-1.73,0.25,3.53,3.02
MDU,-15.39,16,4,-2.28,0.07,2.38,1.49
MEDP,-29.38,16,10,-9.9,0.08,13.95,8.55
MET,-33.87,16,3,-3.3,0.01,1.69,1.7
MGY,9.07,16,10,-3.49,0.77,4.39,3.78
MIR,-21.51,16,10,-8.58,0.46,6.69,5.32
MKL,-23.88,16,4,-2.99,0.13,2.86,2.12
MKTX,-18.26,16,9,-6.47,0.47,3.98,3.92
MLI,32.24,16,14,-4.88,0.35,6.42,5.74
MMS,-0.17,16,10,-5.03,0.08,5.7,4.22
MNDY,32.1,16,15,-12.9,1.98,14.41,13.63
MOD,15.7,16,12,-5.08,0.7,12.85,11.01
MOH,-25.75,16,9,-7.54,0.17,5.26,3.35
MPC,13.25,16,9,-1.96,0.49,3.94,4.5
MPLX,10.76,16,5,-0.39,0.65,2.57,1.66
MPWR,-6.7,16,12,-10.67,0.08,9.15,9.01
MRCY,-14.92,16,11,-9.58,0.0,12.28,7.25
MRK,-7.04,16,7,-3.12,0.01,2.61,2.42
MSGE,-7.71,16,10,-6.29,0.07,6.4,6.11
MSGS,4.81,16,7,-1.8,0.0,3.5,2.33
MSTR,-9.58,16,9,-5.23,0.23,4.78,4.65
MT,-9.37,16,8,-4.17,0.11,3.46,2.85
MTCH,-30.23,16,11,-12.65,0.15,7.09,5.9
MTD,-20.19,16,5,-3.2,0.03,2.98,1.04
MTG,15.77,16,8,-1.03,0.02,2.74,2.93
MTSI,17.36,16,12,-4.66,0.26,6.4,6.25
MUFG,15.52,16,8,-1.06,0.0,2.9,3.01
MUSA,-11.34,16,8,-4.42,0.17,3.79,3.1
MWA,-17.86,16,9,-6.41,0.0,6.86,5.32
MZTI,3.49,2,1,0.49,2.83,6.07,6.07
NBIX,9.75,16,12,-6.56,0.16,6.4,4.55
NET,-6.41,16,13,-15.14,0.64,12.4,11.32
NJR,-0.32,16,5,-1.39,0.13,2.16,1.52
NMIH,18.31,16,11,-2.94,0.32,4.89,4.92
NOV,12.28,16,12,-5.93,0.31,5.83,5.81
NSIT,-37.28,16,6,-5.53,0.07,2.9,1.65
NSP,-91.67,16,5,-9.7,0.2,5.04,2.47
NSSC,-4.97,16,13,-14.66,0.05,12.32,11.84
NTST,15.89,16,8,-1.01,0.44,3.31,2.97
NVO,-1.58,16,10,-5.26,0.79,4.3,4.35
NVS,-3.35,16,6,-2.13,0.02,2.59,2.06
NVST,7.22,16,11,-5.16,0.02,6.38,7.09
NVT,12.24,16,10,-2.96,0.53,5.21,4.45
NWS,4.56,16,11,-5.69,0.0,5.39,5.21
NWSA,0.77,16,10,-4.87,0.0,5.54,3.92
NXPI,9.7,16,10,-3.38,0.12,4.07,4.45
NYT,-6.21,16,10,-6.03,0.21,5.9,4.39
OCSL,-25.71,16,3,-2.67,0.0,1.54,0.62
ODFL,-13.0,16,9,-5.71,0.02,4.45,3.36
OHI,-0.01,16,7,-2.33,0.13,4.15,2.53
OI,-9.2,16,11,-8.44,0.1,8.02,8.52
OMC,-12.41,16,7,-3.71,0.08,3.76,2.35
OMCL,-57.12,16,10,-14.52,0.0,10.18,7.72
OMF,2.19,16,8,-2.73,0.22,4.47,3.07
ON,-0.8,16,12,-9.2,1.35,6.43,5.32
ONTO,-24.43,16,11,-11.49,0.0,6.23,6.3
ORLY,-6.22,16,8,-3.78,0.16,3.09,2.47
OS,-10.73,6,4,-11.37,0.22,6.94,6.68
OSCR,47.78,16,11,-5.27,3.38,15.39,16.89
OTEX,-44.55,16,7,-7.28,0.0,3.9,1.65
OWL,11.38,16,12,-6.16,0.13,4.64,4.88
PAA,-16.43,16,2,-1.6,0.74,2.03,1.82
PAGP,-11.02,16,3,-1.54,0.08,2.33,1.71
PAHC,-1.84,16,10,-5.31,0.16,6.42,5.08
PATK,29.65,16,12,-1.59,0.43,5.42,4.24
PBH,-5.76,16,8,-3.72,0.63,4.47,3.35
PCTY,-7.52,16,10,-6.25,0.01,6.48,5.12
PECO,11.56,16,6,-0.64,0.28,2.75,1.64
PEP,2.38,16,4,-0.8,0.32,2.11,1.89
PFE,14.52,16,8,-1.18,0.7,3.33,2.86
PFG,-1.0,16,8,-3.12,0.04,2.97,2.24
PFGC,11.9,16,10,-3.02,0.42,5.15,3.57
PGY,5.49,14,13,-33.51,2.5,21.36,21.11
PHG,-34.49,15,8,-8.36,0.0,7.72,3.41
PI,-61.88,16,11,-18.98,0.0,13.57,8.07
PIPR,18.63,16,10,-1.89,0.01,4.69,3.94
PJT,6.27,16,11,-5.35,0.0,6.02,5.93
PKX,-2.61,15,5,-1.76,0.01,1.88,1.45
PLTR,22.51,16,15,-22.49,0.21,14.13,8.63
PLUS,-36.84,16,11,-13.97,0.09,8.25,7.61
PM,7.57,16,8,-2.05,0.08,3.95,3.33
PNR,17.93,16,10,-2.01,0.03,4.87,4.18
POST,22.42,16,11,-2.12,0.01,5.77,3.57
POWI,-25.77,16,7,-5.2,0.13,3.61,1.91
POWL,14.25,16,13,-8.25,0.69,17.75,12.95
PRI,-14.46,16,6,-3.25,0.02,2.43,1.84
PRLB,-22.73,16,12,-14.68,0.12,12.22,10.29
PRU,1.15,16,7,-2.21,0.0,2.63,2.65
PSX,7.57,16,9,-2.78,0.43,2.89,3.18
PTC,-15.36,16,7,-4.04,0.0,4.58,1.85
PWP,7.82,16,12,-7.04,0.27,6.4,6.73
PYPL,33.24,16,15,-11.76,0.72,7.68,7.38
QCOM,-22.6,16,9,-7.09,0.21,4.71,4.23
QGEN,15.77,16,8,-1.03,0.0,2.84,2.84
QLYS,-34.13,16,9,-8.73,0.0,8.03,4.08
RACE,-6.64,16,7,-3.07,0.02,3.78,2.46
RAMP,6.99,16,14,-17.51,0.18,11.64,9.44
RBLX,-15.95,16,13,-18.32,0.64,12.1,11.69
